,name,description
791,pratyaghat,police investigate the past of a gangster whose life of crime began with the murder of his wife.
798,13 number feku ostagar lane,"in a home, hassle was a daily routine between homeowners and lodgers. the lodgers & their servant was determined that they wouldn't pay their rent. both of them separately called in their brother & sister to rise courage in quarrel."
799,chaalchitra,a young ebullient and sensitive calcuttan meets the editor of a leading newspaper and is assigned to 'do' a newsy yet intimate story of his own middle class milieu within two days. the ...
800,shap mochan,mhanedra mukhopadhaya ( uttam kumar ) is a descendant of a musician family. one of his forefathers was cursed by his guru that anyone in his family who would practice music will either die ...
801,thana theke aschi,sub-inspector tinkari haldar comes to the house of the industrialist chandra madhab sen to inquire about a suicide and mystery starts to unfold.
802,charmurti,this is the classic fully outstanding comedy story of unstoppable four friends. those who are going for a mysterious vacation.
803,padma nadir majhi,"hossain, a bengali muslim wants to establish a little utopia on an island in the padma delta. he doesn't care if the people who populate it are hindu or muslim."
804,the cloud-capped star,a selfless young woman (supriya choudhury) sacrifices her own happiness for her unappreciative family.
805,teen kanya,"based on popular indian stories of great writer rabindra nath tagore, these short films reveal definitive moments in the lives of three young girls."
806,jalaler golpo,"just as moses was found in the river nile, an infant is rescued from a river, and adopted by miraj, karim and sajib in turns over the years, only to be abandoned at the various stages of ..."
807,the music room,"depicts the end days of a decadent zamindar (landlord) in bengal, and his efforts to uphold his family prestige even when faced with economic adversity."
808,the stranger,"a well-off family is paid an unexpected, and rather unwanted, visit by a man claiming to be the woman's long-lost uncle. the initial suspicion with which they greet the man slowly dissolves..."
809,amar bondhu rashed,"amar bondhu rashed, a fictional story based on the liberation war of bangladesh and written by the popular children's literature dr mohammad jafar iqbal"
811,baishe srabon,an ex-cop is hired to track down a serial killer who carries out his killings according to bengali poetry.
813,ekhane pinjar,"the story revolves around a novelist called amal(uttam kumar)and his entertainment with a truncated antisocial nabendu,(dilip mukherjee) his death and its aftermaths."
815,shukno lanka,"a junior artist living in a tinsel town, who is yet to taste success after a struggle of 30 years of acting career, gets the shock of his life when a prolific filmmaker, offers him a lead role in his next film."
816,deep jweley jai,a nurse at a psychiatric ward gets a bit too involved in the well being of a patient.
817,shimana periye,the main setting of the movie was a disastrous cyclone and tidal bore which attacked bangladesh in 1970. that vast spate washed away an opulent girl and a destitute man to a secluded island...
818,ek nadir galpo,darakeshwar (mithun) and anu (swetha) are father and daughter. tragedy strikes as anu drowns in keleghai river. now darakeshwar's only goal is to rename the river keleghai as anjana in memory of his loving daughter.
819,chinnamul,a group of farmers from east pakistan (now bangladesh) who were forced to migrate to calcutta because of the partition of bengal in 1947.
820,bagh bahadur,bagh bahadur is a 1989 bengali drama film directed and written by buddhadev dasgupta. the film is about a man who paints himself as a tiger and dances in a village in bengal. the movie ...
821,sabyasachi,"the film portrays a charismatic and passionate freedom fighter 'sabyasachi', taken from the novel 'pather dabi' by sarat chandra chattopadhyay, in his repeated struggle against the full might of the colonial british rule."
822,runaway,a drama thriller about men who run from their family responsibility and a rickshaw pedaling bounty hunter compelled to bring them to justice.
823,joyjatra,it's a story of boat journey of bangladesh in 1971 of helpless people was going towards the safe border.pakistan military had unleashed genocide in the country. heroic sons of the soil started a war of liberation.
825,kokhono megh,"after her diamond-smuggling uncle is murdered, a woman is terrorized by the fortune-seeking former associates the uncle once double-crossed. she meets a charming stranger, but can he be trusted?"
826,parashuram,a rural migrant comes to the city and shares a temporary shelter with an old beggar in an abandoned graveyard.
834,kony,kony is an inspirational story of a coach khidda and his trainee kony who fight all odds to achieve their aims.
838,neelachaley mahaprabhu,"this is a biographical film concerning sri krishna chaitanya's time in nilachale (puri, orissa state in india), in the early 1500s. it is a sequel to an earlier film, ""nimai of nadia""."
842,kathantara,centers round the horrifying experience of a young widow who lost her husband and family in the devastating super cyclone of 1999.
